index,lexeme,cell,phon_form,alignment,stem,exponents,method
5660,bite,15,s n a k e b i t e,0 1 2 4 5 6 7 8 10,- b i t -,s n a k e - e,"User features, features similarity, Progressive alignment"
5661,biting,0,b i t i n g,0 1 2 3 4 5,b i t i n g -,-,"User features, features similarity, Progressive alignment"
5662,biting,1,b i t i n g l y,0 1 2 3 4 5 6 7,b i t i n g -,- l y,"User features, features similarity, Progressive alignment"
5663,bitter,0,b i t t e r,2 3 4 5 6 7,- b i t t e r -,-,"User features, features similarity, Progressive alignment"
5664,bitter,1,b i t t e r e r,2 3 4 5 6 7 10 12,- b i t t e r -,- e r,"User features, features similarity, Progressive alignment"
5665,bitter,2,b i t t e r e s t,2 3 4 5 6 7 10 11 12,- b i t t e r -,- e s t,"User features, features similarity, Progressive alignment"
5666,bitter,3,b i t t e r l y,2 3 4 5 6 7 8 9,- b i t t e r -,- l y,"User features, features similarity, Progressive alignment"
5667,bitter,4,b i t t e r n e s s,2 3 4 5 6 7 9 10 11 12,- b i t t e r -,- n e s s,"User features, features similarity, Progressive alignment"
5668,bitter,5,b i t t e r s,2 3 4 5 6 7 11,- b i t t e r -,- s,"User features, features similarity, Progressive alignment"
5669,bitter,6,b i t t e r s w e e t,2 3 4 5 6 7 8 9 10 11 12,- b i t t e r -,- s w e e t,"User features, features similarity, Progressive alignment"
5670,bitter,7,e m b i t t e r,0 1 2 3 4 5 6 7,- b i t t e r -,e m -,"User features, features similarity, Progressive alignment"
5671,bitter,8,e m b i t t e r e d,0 1 2 3 4 5 6 7 10 12,- b i t t e r -,e m - e d,"User features, features similarity, Progressive alignment"
5672,bitter,9,e m b i t t e r i n g,0 1 2 3 4 5 6 7 8 9 12,- b i t t e r -,e m - i n g,"User features, features similarity, Progressive alignment"
5673,bitter,10,e m b i t t e r m e n t,0 1 2 3 4 5 6 7 8 10 11 12,- b i t t e r -,e m - m e n t,"User features, features similarity, Progressive alignment"
5674,bitter,11,e m b i t t e r s,0 1 2 3 4 5 6 7 11,- b i t t e r -,e m - s,"User features, features similarity, Progressive alignment"
5675,bitumen,0,b i t u m e n,0 1 2 3 4 5 7,b i t u m - n -,- e -,"User features, features similarity, Progressive alignment"
5676,bitumen,1,b i t u m i n o u s,0 1 2 3 4 6 7 8 9 10,b i t u m - n -,- i - o u s,"User features, features similarity, Progressive alignment"
5677,bivouac,0,b i v o u a c,0 1 2 3 4 5 6,b i v o u a c -,-,"User features, features similarity, Progressive alignment"
5678,bivouac,1,b i v o u a c k e d,0 1 2 3 4 5 6 7 8 9,b i v o u a c -,- k e d,"User features, features similarity, Progressive alignment"
5679,bivouac,2,b i v o u a c k i n g,0 1 2 3 4 5 6 7 8 9 10,b i v o u a c -,- k i n g,"User features, features similarity, Progressive alignment"
5680,bivouac,3,b i v o u a c s,0 1 2 3 4 5 6 10,b i v o u a c -,- s,"User features, features similarity, Progressive alignment"
5681,biweekly,0,b i w e e k l y,0 1 2 3 4 5 6 7,b i w e e k l y,-,"User features, features similarity, Progressive alignment"
5682,biz,0,b i z,0 1 2,b i z,-,"User features, features similarity, Progressive alignment"
5683,bizarre,0,b i z a r r e,0 1 2 3 4 5 6,b i z a r r e -,-,"User features, features similarity, Progressive alignment"
5684,bizarre,1,b i z a r r e l y,0 1 2 3 4 5 6 7 8,b i z a r r e -,- l y,"User features, features similarity, Progressive alignment"
5685,blab,0,b l a b,0 1 2 3,b l a b -,-,"User features, features similarity, Progressive alignment"
5686,blab,1,b l a b b e d,0 1 2 3 4 5 11,b l a b -,- b e d,"User features, features similarity, Progressive alignment"
5687,blab,2,b l a b b e r,0 1 2 3 4 5 6,b l a b -,- b e r,"User features, features similarity, Progressive alignment"
5688,blab,3,b l a b b e r e d,0 1 2 3 4 5 6 10 11,b l a b -,- b e r e d,"User features, features similarity, Progressive alignment"
5689,blab,4,b l a b b e r i n g,0 1 2 3 4 5 6 7 9 12,b l a b -,- b e r i n g,"User features, features similarity, Progressive alignment"
5690,blab,5,b l a b b e r m o u t h,0 1 2 3 4 5 6 7 8 9 10 11,b l a b -,- b e r m o u t h,"User features, features similarity, Progressive alignment"
5691,blab,6,b l a b b e r m o u t h s,0 1 2 3 4 5 6 7 8 9 10 11 12,b l a b -,- b e r m o u t h s,"User features, features similarity, Progressive alignment"
5692,blab,7,b l a b b e r s,0 1 2 3 4 5 6 8,b l a b -,- b e r s,"User features, features similarity, Progressive alignment"
5693,blab,8,b l a b b i n g,0 1 2 3 4 7 9 12,b l a b -,- b i n g,"User features, features similarity, Progressive alignment"
5694,blab,9,b l a b s,0 1 2 3 8,b l a b -,- s,"User features, features similarity, Progressive alignment"
5695,black,0,B l a c k s h i r t,6 7 8 9 10 11 12 13 15 16,- l a c k -,B - s h i r t,"User features, features similarity, Progressive alignment"
5696,black,1,B l a c k s h i r t s,6 7 8 9 10 11 12 13 15 16 19,- l a c k -,B - s h i r t s,"User features, features similarity, Progressive alignment"
5697,black,2,b l a c k,6 7 8 9 10,- l a c k -,b -,"User features, features similarity, Progressive alignment"
5698,black,3,b l a c k - b e e t l e,6 7 8 9 10 11 13 14 16 17 18,- l a c k -,b - b e e t l e,"User features, features similarity, Progressive alignment"
5699,black,4,b l a c k - b e e t l e s,6 7 8 9 10 11 13 14 16 17 18 19,- l a c k -,b - b e e t l e s,"User features, features similarity, Progressive alignment"
5700,black,5,b l a c k - e y e d,6 7 8 9 10 13 17 18 19,- l a c k -,b - e y e d,"User features, features similarity, Progressive alignment"
5701,black,6,b l a c k - l e a d,6 7 8 9 10 12 13 14 16,- l a c k -,b - l e a d,"User features, features similarity, Progressive alignment"
5702,black,7,b l a c k - l e a d e d,6 7 8 9 10 12 13 14 16 18 19,- l a c k -,b - l e a d e d,"User features, features similarity, Progressive alignment"
5703,black,8,b l a c k - l e a d i n g,6 7 8 9 10 12 13 14 16 17 18 19,- l a c k -,b - l e a d i n g,"User features, features similarity, Progressive alignment"
5704,black,9,b l a c k - l e a d s,6 7 8 9 10 12 13 14 16 19,- l a c k -,b - l e a d s,"User features, features similarity, Progressive alignment"
5705,black,10,b l a c k a m o o r,6 7 8 9 10 11 12 13 14 15,- l a c k -,b - a m o o r,"User features, features similarity, Progressive alignment"
5706,black,11,b l a c k a m o o r s,6 7 8 9 10 11 12 13 14 15 19,- l a c k -,b - a m o o r s,"User features, features similarity, Progressive alignment"
5707,black,12,b l a c k b a l l,6 7 8 9 10 11 14 16 17,- l a c k -,b - b a l l,"User features, features similarity, Progressive alignment"
5708,black,13,b l a c k b a l l e d,6 7 8 9 10 11 14 16 17 18 19,- l a c k -,b - b a l l e d,"User features, features similarity, Progressive alignment"
5709,black,14,b l a c k b a l l i n g,6 7 8 9 10 11 14 15 16 17 18 19,- l a c k -,b - b a l l i n g,"User features, features similarity, Progressive alignment"
5710,black,15,b l a c k b a l l s,6 7 8 9 10 11 14 16 17 19,- l a c k -,b - b a l l s,"User features, features similarity, Progressive alignment"
5711,black,16,b l a c k b e r r i e s,6 7 8 9 10 11 13 14 15 17 18 19,- l a c k -,b - b e r r i e s,"User features, features similarity, Progressive alignment"
5712,black,17,b l a c k b e r r y,6 7 8 9 10 11 13 14 15 17,- l a c k -,b - b e r r y,"User features, features similarity, Progressive alignment"
5713,black,18,b l a c k b e r r y i n g,6 7 8 9 10 11 13 14 15 16 17 18 19,- l a c k -,b - b e r r y i n g,"User features, features similarity, Progressive alignment"
5714,black,19,b l a c k b i r d,6 7 8 9 10 11 13 15 16,- l a c k -,b - b i r d,"User features, features similarity, Progressive alignment"
5715,black,20,b l a c k b i r d s,6 7 8 9 10 11 13 15 16 19,- l a c k -,b - b i r d s,"User features, features similarity, Progressive alignment"
5716,black,21,b l a c k b o a r d,6 7 8 9 10 11 13 14 15 16,- l a c k -,b - b o a r d,"User features, features similarity, Progressive alignment"
5717,black,22,b l a c k b o a r d s,6 7 8 9 10 11 13 14 15 16 19,- l a c k -,b - b o a r d s,"User features, features similarity, Progressive alignment"
5718,black,23,b l a c k c u r r a n t,6 7 8 9 10 11 12 14 15 17 18 19,- l a c k -,b - c u r r a n t,"User features, features similarity, Progressive alignment"
5719,black,24,b l a c k c u r r a n t s,6 7 8 9 10 11 12 14 15 16 17 18 19,- l a c k -,b - c u r r a n t s,"User features, features similarity, Progressive alignment"
5720,black,25,b l a c k e d,6 7 8 9 10 13 16,- l a c k -,b - e d,"User features, features similarity, Progressive alignment"
5721,black,26,b l a c k e n,6 7 8 9 10 13 18,- l a c k -,b - e n,"User features, features similarity, Progressive alignment"
5722,black,27,b l a c k e n e d,6 7 8 9 10 13 17 18 19,- l a c k -,b - e n e d,"User features, features similarity, Progressive alignment"
5723,black,28,b l a c k e n i n g,6 7 8 9 10 13 15 17 18 19,- l a c k -,b - e n i n g,"User features, features similarity, Progressive alignment"
5724,black,29,b l a c k e n s,6 7 8 9 10 13 18 19,- l a c k -,b - e n s,"User features, features similarity, Progressive alignment"
5725,black,30,b l a c k e r,6 7 8 9 10 13 15,- l a c k -,b - e r,"User features, features similarity, Progressive alignment"
5726,black,31,b l a c k e s t,6 7 8 9 10 13 15 16,- l a c k -,b - e s t,"User features, features similarity, Progressive alignment"
5727,black,32,b l a c k g u a r d,6 7 8 9 10 11 12 14 15 16,- l a c k -,b - g u a r d,"User features, features similarity, Progressive alignment"
5728,black,33,b l a c k g u a r d e d,6 7 8 9 10 11 12 14 15 16 18 19,- l a c k -,b - g u a r d e d,"User features, features similarity, Progressive alignment"
5729,black,34,b l a c k g u a r d i n g,6 7 8 9 10 11 12 14 15 16 17 18 19,- l a c k -,b - g u a r d i n g,"User features, features similarity, Progressive alignment"
5730,black,35,b l a c k g u a r d l y,6 7 8 9 10 11 12 14 15 16 17 18,- l a c k -,b - g u a r d l y,"User features, features similarity, Progressive alignment"
5731,black,36,b l a c k g u a r d s,6 7 8 9 10 11 12 14 15 16 19,- l a c k -,b - g u a r d s,"User features, features similarity, Progressive alignment"
5732,black,37,b l a c k h e a d,6 7 8 9 10 12 13 14 16,- l a c k -,b - h e a d,"User features, features similarity, Progressive alignment"
5733,black,38,b l a c k h e a d s,6 7 8 9 10 12 13 14 16 19,- l a c k -,b - h e a d s,"User features, features similarity, Progressive alignment"
5734,black,39,b l a c k i n g,6 7 8 9 10 17 18 19,- l a c k -,b - i n g,"User features, features similarity, Progressive alignment"
5735,black,40,b l a c k j a c k,6 7 8 9 10 11 14 17 18,- l a c k -,b - j a c k,"User features, features similarity, Progressive alignment"
5736,black,41,b l a c k j a c k s,6 7 8 9 10 11 14 17 18 19,- l a c k -,b - j a c k s,"User features, features similarity, Progressive alignment"
5737,black,42,b l a c k l e g,6 7 8 9 10 12 13 19,- l a c k -,b - l e g,"User features, features similarity, Progressive alignment"
5738,black,43,b l a c k l e g g e d,6 7 8 9 10 12 13 14 17 18 19,- l a c k -,b - l e g g e d,"User features, features similarity, Progressive alignment"
5739,black,44,b l a c k l e g g i n g,6 7 8 9 10 12 13 14 15 17 18 19,- l a c k -,b - l e g g i n g,"User features, features similarity, Progressive alignment"
5740,black,45,b l a c k l e g s,6 7 8 9 10 12 13 17 19,- l a c k -,b - l e g s,"User features, features similarity, Progressive alignment"
5741,black,46,b l a c k l i s t,6 7 8 9 10 12 13 15 16,- l a c k -,b - l i s t,"User features, features similarity, Progressive alignment"
5742,black,47,b l a c k l i s t e d,6 7 8 9 10 12 13 15 16 18 19,- l a c k -,b - l i s t e d,"User features, features similarity, Progressive alignment"
5743,black,48,b l a c k l i s t i n g,6 7 8 9 10 12 13 15 16 17 18 19,- l a c k -,b - l i s t i n g,"User features, features similarity, Progressive alignment"
5744,black,49,b l a c k l i s t s,6 7 8 9 10 12 13 15 16 19,- l a c k -,b - l i s t s,"User features, features similarity, Progressive alignment"
5745,black,50,b l a c k l y,6 7 8 9 10 12 17,- l a c k -,b - l y,"User features, features similarity, Progressive alignment"
5746,black,51,b l a c k m a i l,6 7 8 9 10 12 14 17 18,- l a c k -,b - m a i l,"User features, features similarity, Progressive alignment"
5747,black,52,b l a c k m a i l e d,6 7 8 9 10 12 14 15 17 18 19,- l a c k -,b - m a i l e d,"User features, features similarity, Progressive alignment"
5748,black,53,b l a c k m a i l e r,6 7 8 9 10 12 14 15 17 18 19,- l a c k -,b - m a i l e r,"User features, features similarity, Progressive alignment"
5749,black,54,b l a c k m a i l e r s,6 7 8 9 10 12 14 15 16 17 18 19,- l a c k -,b - m a i l e r s,"User features, features similarity, Progressive alignment"
5750,black,55,b l a c k m a i l i n g,6 7 8 9 10 12 14 15 16 17 18 19,- l a c k -,b - m a i l i n g,"User features, features similarity, Progressive alignment"
5751,black,56,b l a c k m a i l s,6 7 8 9 10 12 14 17 18 19,- l a c k -,b - m a i l s,"User features, features similarity, Progressive alignment"
5752,black,57,b l a c k n e s s,6 7 8 9 10 11 13 15 19,- l a c k -,b - n e s s,"User features, features similarity, Progressive alignment"
5753,black,58,b l a c k s,6 7 8 9 10 19,- l a c k -,b - s,"User features, features similarity, Progressive alignment"
5754,black,59,b l a c k s m i t h,6 7 8 9 10 11 12 13 16 17,- l a c k -,b - s m i t h,"User features, features similarity, Progressive alignment"
5755,black,60,b l a c k s m i t h s,6 7 8 9 10 11 12 13 16 17 19,- l a c k -,b - s m i t h s,"User features, features similarity, Progressive alignment"
5756,black,61,b l a c k t h o r n,6 7 8 9 10 11 12 13 15 18,- l a c k -,b - t h o r n,"User features, features similarity, Progressive alignment"
5757,black,62,b l a c k t h o r n s,6 7 8 9 10 11 12 13 15 18 19,- l a c k -,b - t h o r n s,"User features, features similarity, Progressive alignment"
5758,black,63,b l u e - b l a c k,0 1 2 3 6 7 8 9 10,- l a c k -,b l u e b -,"User features, features similarity, Progressive alignment"
5759,black,64,b o o t b l a c k,0 2 4 5 6 7 8 9 10,- l a c k -,b o o t b -,"User features, features similarity, Progressive alignment"
5760,black,65,b o o t b l a c k s,0 2 4 5 6 7 8 9 10 19,- l a c k -,b o o t b - s,"User features, features similarity, Progressive alignment"
5761,black,66,j e t - b l a c k,1 3 5 6 7 8 9 10,- l a c k -,j e t b -,"User features, features similarity, Progressive alignment"
5762,black,67,l a m p - b l a c k,1 2 3 4 6 7 8 9 10,- l a c k -,l a m p b -,"User features, features similarity, Progressive alignment"
5763,black,68,p i t c h - b l a c k,0 1 3 4 5 6 7 8 9 10,- l a c k -,p i t c h b -,"User features, features similarity, Progressive alignment"
5764,black,69,p i t c h - b l a c k n e s s,0 1 3 4 5 6 7 8 9 10 11 13 15 19,- l a c k -,p i t c h b - n e s s,"User features, features similarity, Progressive alignment"
5765,black,70,s h o e b l a c k,0 1 2 3 6 7 8 9 10,- l a c k -,s h o e b -,"User features, features similarity, Progressive alignment"
5766,black out,0,b l a c k o u t,0 1 2 3 4 5 6 7,b l a c k o u t -,-,"User features, features similarity, Progressive alignment"
5767,black out,1,b l a c k o u t s,0 1 2 3 4 5 6 7 8,b l a c k o u t -,- s,"User features, features similarity, Progressive alignment"
5768,black-lead,0,b l a c k - l e a d,0 1 2 3 4 5 6 7 8,b l a c k l e a d -,-,"User features, features similarity, Progressive alignment"
5769,black-lead,1,b l a c k - l e a d e d,0 1 2 3 4 5 6 7 8 9 10,b l a c k l e a d -,- e d,"User features, features similarity, Progressive alignment"
5770,black-lead,2,b l a c k - l e a d i n g,0 1 2 3 4 5 6 7 8 9 10 11,b l a c k l e a d -,- i n g,"User features, features similarity, Progressive alignment"
5771,black-lead,3,b l a c k - l e a d s,0 1 2 3 4 5 6 7 8 11,b l a c k l e a d -,- s,"User features, features similarity, Progressive alignment"
5772,blackguard,0,b l a c k g u a r d,0 1 2 3 4 5 6 7 8 9,b l a c k g u a r d -,-,"User features, features similarity, Progressive alignment"
5773,blackguard,1,b l a c k g u a r d e d,0 1 2 3 4 5 6 7 8 9 10 12,b l a c k g u a r d -,- e d,"User features, features similarity, Progressive alignment"
5774,blackguard,2,b l a c k g u a r d i n g,0 1 2 3 4 5 6 7 8 9 10 11 12,b l a c k g u a r d -,- i n g,"User features, features similarity, Progressive alignment"
5775,blackguard,3,b l a c k g u a r d l y,0 1 2 3 4 5 6 7 8 9 10 11,b l a c k g u a r d -,- l y,"User features, features similarity, Progressive alignment"
5776,blackguard,4,b l a c k g u a r d s,0 1 2 3 4 5 6 7 8 9 11,b l a c k g u a r d -,- s,"User features, features similarity, Progressive alignment"
5777,blacking,0,b l a c k i n g,0 1 2 3 4 5 6 7,b l a c k i n g,-,"User features, features similarity, Progressive alignment"
5778,blackleg,0,b l a c k l e g,0 1 2 3 4 5 6 7,b l a c k l e g -,-,"User features, features similarity, Progressive alignment"
5779,blackleg,1,b l a c k l e g g e d,0 1 2 3 4 5 6 7 8 9 10,b l a c k l e g -,- g e d,"User features, features similarity, Progressive alignment"
5780,blackleg,2,b l a c k l e g g i n g,0 1 2 3 4 5 6 7 8 9 10 11,b l a c k l e g -,- g i n g,"User features, features similarity, Progressive alignment"
5781,blackleg,3,b l a c k l e g s,0 1 2 3 4 5 6 7 11,b l a c k l e g -,- s,"User features, features similarity, Progressive alignment"
